Country,University,Rank,Teaching,Research,Citations,Students,International Students (%),Year
Germany,University of Tübingen,78,47,59.8,79.3,28327,12,2016
United States of America,University of Pittsburgh,79,50.6,50.3,92.3,26485,10,2016
United Kingdom,University of Warwick,80,47.4,53.1,78.2,18529,37,2016
Sweden,Uppsala University,81,44.1,61,80.9,25266,12,2016
Denmark,University of Copenhagen,82,49.8,42.7,86.2,27545,19,2016
Australia,University of New South Wales,82,40.7,53.9,82.1,38309,33,2016
Germany,University of Freiburg,84,47.4,51.1,80.5,26467,16,2016
South Korea,Seoul National University,85,66.5,70.5,50,26389,10,2016
United Kingdom,University of St Andrews,86,49.7,47.3,78.8,8338,47,2016
United States of America,Vanderbilt University,87,47.8,44.2,95.7,12161,10,2016
Japan,Kyoto University,88,70.6,69.3,46.6,22809,7,2016
Netherlands,Maastricht University,88,37.5,47.7,82.7,15626,48,2016
United States of America,Emory University,90,48.3,37.1,96.7,12338,18,2016
Sweden,Lund University,90,39.7,53.6,81.3,28251,15,2016
United States of America,Ohio State University,90,51.6,46.6,83.2,51462,12,2016
United Kingdom,University of Exeter,93,39.4,40,94.3,17755,28,2016
Germany,University of Bonn,94,45.1,47.5,85.3,32474,13,2016
United States of America,Georgetown University,94,54.4,39.3,82.5,15408,14,2016
Canada,McMaster University,94,39.8,44.8,84.9,23823,15,2016
United Kingdom,University of Sheffield,97,42.4,48.8,80.1,23311,31,2016
United Kingdom,Queen Mary University of London,98,34.1,41.3,93.3,14260,40,2016
Germany,University of Göttingen,99,49.3,54.5,72.7,25581,12,2016
United States of America,Michigan State University,99,47.3,52.6,76.8,44750,15,2016
